Creative Type	Director	Distributor	IMDB Rating	IMDB Votes	MPAA Rating	Major Genre	Production Budget	Release Location	Release Date	Rotten Tomatoes Rating	Running Time (min)	Source	Title	US DVD Sales	US Gross	Worldwide Gross
Contemporary Fiction	Neil LaBute	Sony Pictures	5.1	6628	R	Comedy	21000000	United States	16-Apr-10	38	0	Remake	Death at a Funeral	9750680	42739347	42739347
Science Fiction	Tony Scott	Walt Disney Pictures	7	66106	PG-13	Thriller/Suspense	80000000		22-Nov-06	0	126	Original Screenplay	Dj Vu	40502497	64038616	181038616
Kids Fiction		Freestyle Releasing	4.4	1177	PG	Adventure	40000000	United States	12-Dec-08	12	88	Original Screenplay	Delgo	0	915840	915840
		Universal	7.7	10529	PG	Comedy	69000000		9-Jul-10	80	95		Despicable Me	0	244885070	333572855
Contemporary Fiction		Sony Pictures	4.3	18228	R	Comedy	22000000	United States	12-Aug-05	10	0	Original Screenplay	Deuce Bigalow: European Gigolo	0	22400154	44400154
Contemporary Fiction		Walt Disney Pictures	5.6	25397	R	Comedy	18000000	United States	10-Dec-99	23	88	Original Screenplay	Deuce Bigalow: Male Gigolo	0	65535067	92935067
Contemporary Fiction	Alan J. Pakula	Sony Pictures	5.8	21331	R	Thriller/Suspense	90000000		26-Mar-97	29	0	Based on Book/Short Story	The Devil's Own	0	42885593	140900000
Fantasy		Sony Pictures	4.6	12771	PG-13	Horror	7000000	United States	24-Jan-03	8	86	Original Screenplay	Darkness Falls	0	32539681	32539681
Historical Fiction	Edward Zwick	Paramount Vantage	5.9	362	R	Drama	50000000		31-Dec-08	56	0	Original Screenplay	Defiance	13421577	28644813	42268745
Historical Fiction		Warner Bros.	5.9	482	PG	Drama	7000000	Japan	27-Aug-99	17	0	Based on Book/Short Story	A Dog of Flanders	0	2165637	2165637
Fantasy	Tom Shadyac	Universal	5.8	14098	PG-13	Drama	60000000	United States	22-Feb-02	7	104	Original Screenplay	Dragonfly	0	30063805	30063805
Contemporary Fiction		First Look	6.8	7122	R	Thriller/Suspense	3300000	United States	29-Dec-06	73	0	Original Screenplay	The Dead Girl	0	19875	19875
Dramatization	Catherine Hardwicke	Sony/TriStar	0	0	PG-13	Action	25000000		3-Jun-05	0	0	Original Screenplay	The Lords of Dogtown	0	11273517	11354893
Historical Fiction	Andrew Fleming	Sony Pictures	6.1	10451	PG-13	Comedy	13000000	United States	4-Aug-99	70	0	Original Screenplay	Dick	0	6276869	6276869
Contemporary Fiction	Len Wiseman	20th Century Fox	7.5	130559	PG-13	Action	110000000	Japan	27-Jun-07	82	128	Based on Book/Short Story	Live Free or Die Hard	100774964	134529403	383531464
Kids Fiction		20th Century Fox	4.6	1727	PG	Adventure	5000000	United States	6-Oct-00	0	0	Based on TV	Digimon: The Movie	0	9628751	16628751
Contemporary Fiction		MGM	4.8	207	PG-13	Comedy	13000000	United States	12-Jun-98	17	0	Original Screenplay	Dirty Work	0	10020081	10020081
Science Fiction	Pierre Morel	Magnolia Pictures	7.1	21427	R	Action	15000000		2-Jun-06	0	85	Original Screenplay	Banlieue 13	0	1200216	11208291
Contemporary Fiction	Jason Friedberg	Lionsgate	1.7	34928	PG-13	Comedy	20000000	Estonia	29-Aug-08	2	88	Original Screenplay	Disaster Movie	9859088	14190901	34690901
Science Fiction	Neill Blomkamp	Sony Pictures	8.3	151742	R	Thriller/Suspense	30000000	Australia	14-Aug-09	91	111	Original Screenplay	District 9	30058184	115646235	206552113
Contemporary Fiction		MGM	5.2	9394	R	Thriller/Suspense	15000000	Canada	24-Jul-98	30	83	Original Screenplay	Disturbing Behavior	0	17507368	17507368
Dramatization	Julian Schnabel	Miramax	8	31172	PG-13	Drama	14000000		30-Nov-07	0	0	Based on Book/Short Story	Le Scaphandre et le Papillon	2354497	5990075	19689095
Contemporary Fiction	Ron Shelton	MGM	6.6	10881	R	Drama	15000000		21-Feb-03	57	0	Original Screenplay	Dark Blue	0	9237470	11933396
		Fox Searchlight	5.8	520	R		3250000	United States	29-Oct-99	0	0		Dreaming of Joseph Lees	0	7680	7680
Historical Fiction		MGM	6.5	6086	PG-13	Drama	4000000	France	25-Jun-04	49	0	Based on Real Life Events	De-Lovely	0	13337299	18396382
Contemporary Fiction	Tyler Perry	Lionsgate	3.9	5369	PG-13	Comedy	10000000		24-Feb-06	26	0	Based on Play	Madea's Family Reunion	26508859	63257940	63308879
Contemporary Fiction		Paramount Pictures	5.6	7109	R	Black Comedy	14000000	Japan	21-Aug-98	15	93	Original Screenplay	Dead Man on Campus	0	15064948	15064948
Contemporary Fiction		Destination Films	5.3	7606	PG-13	Comedy	16000000	Puerto Rico	3-Mar-00	29	0	Original Screenplay	Drowning Mona	0	15427192	15427192
		Miramax	5.3	976	PG-13		11900000	France	10-Dec-99	26	0		Diamonds	0	81897	81897
Science Fiction		Universal	6	34035	R	Action	33000000	United States	14-Mar-08	48	0	Original Screenplay	Doomsday	8666480	11008770	21621188
Contemporary Fiction		Magnolia Pictures	5.4	4551	R	Thriller/Suspense	750000	United States	23-Jan-09	0	0	Original Screenplay	Donkey Punch	0	19367	19367
Kids Fiction		Walt Disney Pictures	6.2	13962	PG	Adventure	127500000		19-May-00	65	82	Original Screenplay	Dinosaur	0	137748063	356148063
Fantasy	Corey Yuen	Weinstein/Dimension	4.9	16646	PG-13	Action	30000000		15-Jun-07	34	0	Based on Game	DOA: Dead or Alive	1370874	480314	2670860
Kids Fiction		Weinstein Co.	2.5	2709	G	Adventure	20000000		2006	0	0	Based on TV	Doogal	0	7578946	26942802
Contemporary Fiction	Kevin Smith	Lionsgate	7.3	100476	R	Comedy	10000000	France	12-Nov-99	68	135	Original Screenplay	Dogma	0	30651422	43948865
Contemporary Fiction	Harold Becker	Paramount Pictures	5.3	10778	PG-13	Thriller/Suspense	53000000	United States	2-Nov-01	24	89	Original Screenplay	Domestic Disturbance	0	45207112	45207112
Dramatization	Tony Scott	New Line	5.9	32560	R	Action	50000000	Canada	14-Oct-05	19	133	Based on Real Life Events	Domino	15573570	10169202	17759202
Dramatization	Mike Newell	Sony Pictures	7.7	65462	R	Drama	35000000	Canada	28-Feb-97	87	121	Based on Real Life Events	Donnie Brasco	0	41954997	55954997
Science Fiction	Andrzej Bartkowiak	Universal	5.2	39473	R	Horror	70000000	Greece	21-Oct-05	19	0	Based on Game	Doom	28563264	28212337	54612337
Historical Fiction		Miramax	0	0	PG-13	Drama	20000000		12-Dec-08	78	0	Based on Play	Doubt	12876746	33422556	50923043
Kids Fiction		Walt Disney Pictures	4.8	920	G	Adventure	5000000		26-Mar-99	0	77	Based on TV	Doug's 1st Movie	0	19421271	19421271
Dramatization		Newmarket Films	6.1	404	R	Drama	13500000		18-Feb-05	0	0	Based on Real Life Events	Downfall	0	5501940	92101940
Contemporary Fiction		Fox Searchlight	6.6	6734	R	Thriller/Suspense	3000000	United States	8-Aug-01	81	0	Based on Book/Short Story	The Deep End	0	8823109	8823109
Science Fiction	Mimi Leder	Paramount Pictures	6	54160	PG-13	Adventure	80000000	Mexico	8-May-98	47	120	Original Screenplay	Deep Impact	0	140464664	349464664
Contemporary Fiction	Martin Scorsese	Warner Bros.	8.5	264148	R	Drama	90000000	United States	6-Oct-06	93	152	Remake	The Departed	140689412	133311000	290539042
Contemporary Fiction		Miramax	4.8	14077	R	Horror	28000000	United States	22-Dec-00	15	99	Original Screenplay	Dracula 2000	0	33000377	33000377
Science Fiction	Paul Anderson	Universal	6.6	40611	R	Action	65000000	Singapore	22-Aug-08	41	105	Remake	Death Race	24667330	36316032	72516819
Fantasy	Sam Raimi	Universal	7.1	51343	PG-13	Horror	30000000		29-May-09	92	99	Original Screenplay	Drag Me To Hell	13123388	42100625	85724728
Historical Fiction	Ang Lee	Sony Pictures Classics	0	0	PG-13	Drama	15000000		8-Dec-00	0	120	Based on Book/Short Story	Crouching Tiger, Hidden Dragon	0	128067808	213200000
Contemporary Fiction		Weinstein Co.	3.4	3317	R	Action	22000000		11-Nov-05	20	0	Based on Book/Short Story	Derailed	27718572	36020063	54962616
Kids Fiction	Steve Carr	20th Century Fox	6	2993	PG	Comedy	72000000		22-Jun-01	0	87	Remake	Doctor Dolittle 2	0	112950721	176101721
Kids Fiction	Betty Thomas	20th Century Fox	5.2	25648	PG-13	Comedy	71500000	Portugal	26-Jun-98	0	85	Remake	Doctor Dolittle	0	144156605	294156605
Contemporary Fiction		Paramount Pictures	5.5	6949	PG-13	Comedy	17000000	United States	5-Sep-03	0	0	Original Screenplay	Dickie Roberts: Former Child Star	0	22734486	23734486
Contemporary Fiction		Paramount Pictures	5.9	19388	PG-13	Comedy	40000000	Australia	21-Mar-08	26	0	Original Screenplay	Drillbit Taylor	12040874	32862104	49686263
		Sony Pictures Classics	6.7	5380	PG-13		4700000	Ireland	13-Oct-06	48	98		Driving Lessons	0	239962	239962
Contemporary Fiction	Renny Harlin	Warner Bros.	4.2	18795	PG-13	Action	72000000		27-Apr-01	13	117	Original Screenplay	Driven	0	32616869	54616869
Contemporary Fiction		Miramax/Dimension	5.3	9979	PG-13	Horror	10600000		25-Dec-04	4	0	Original Screenplay	Darkness	0	22163442	34409206
Contemporary Fiction	Hugh Hudson	Sony Pictures	5.2	2298	PG-13	Drama	34000000	United States	5-May-00	9	0	Based on Book/Short Story	I Dreamed of Africa	0	6543194	6543194
Science Fiction	Lawrence Kasdan	Warner Bros.	5.3	34141	R	Drama	68000000	United States	21-Mar-03	30	136	Based on Book/Short Story	Dreamcatcher	0	33685268	75685268
Historical Fiction	Bill Condon	Paramount Pictures	6.6	28016	PG-13	Musical	75000000	United States	15-Dec-06	78	130	Based on Musical/Opera	Dreamgirls	53674555	103365956	154965956
Historical Fiction		New Line	6.4	15092	R	Comedy	16000000	United States	13-Aug-99	47	0	Original Screenplay	Detroit Rock City	0	4217115	4217115
Contemporary Fiction		New Line	6.2	16344	PG-13	Comedy	10000000		23-Jul-99	45	0	Original Screenplay	Drop Dead Gorgeous	0	10571408	10571408
Contemporary Fiction		20th Century Fox	5.2	18165	PG-13	Comedy	20000000	United States	13-Dec-02	81	118	Original Screenplay	Drumline	0	56398162	56398162
Contemporary Fiction		Miramax	0	0	R	Action	2000000		20-Oct-00	0	0	Original Screenplay	The Legend of Drunken Master	0	11546543	11546543
Contemporary Fiction		Access Motion Picture Group	7.2	2991	R	Drama	2000000		28-Sep-01	0	0	Original Screenplay	Dinner Rush	0	638227	1075504
Contemporary Fiction		Lionsgate	7.4	58176	R	Thriller/Suspense	7000000		4-Aug-06	0	99	Original Screenplay	The Descent	22484444	26024456	57029609
Factual		Miramax	5.9	501	R	Concert/Performance	3000000		4-Apr-03	43	0	Original Screenplay	DysFunkTional Family	0	2255000	2255000
Kids Fiction		Sony Pictures	3	10050	PG	Comedy	16000000	United States	2-Aug-02	2	80	Original Screenplay	The Master of Disguise	0	40363530	40363530
		Goldwyn Entertainment	6	1412	R		5000000		4-Jun-99	0	0		Desert Blue	0	99147	99147
Contemporary Fiction	D.J. Caruso	Paramount Pictures	7	72231	PG-13	Thriller/Suspense	20000000	United States	13-Apr-07	68	104	Original Screenplay	Disturbia	34508128	80209692	117573043
Contemporary Fiction		Walt Disney Pictures	6.8	162	PG-13	Action	24000000	United States	12-Jan-01	12	88	Remake	Double Take	0	29823162	29823162
Contemporary Fiction	Frank Oz	MGM	5.1	6628	R	Comedy	20000000	Germany	17-Aug-07	61	90	Original Screenplay	Death at a Funeral	0	8580428	34743644
			6.3	1776	R	Thriller/Suspense	800000		10-Mar-00	45	0		Deterrence	0	144583	371647
Contemporary Fiction	Stephen Frears	Miramax	7.5	18554	R	Drama	10000000		18-Jul-03	0	0	Original Screenplay	Dirty Pretty Things	0	8112414	13904766
Kids Fiction	Hugh Wilson	Universal	3.6	4628	PG	Comedy	22000000	United States	27-Aug-99	14	0	Based on TV	Dudley Do-Right	0	9818792	9818792
Contemporary Fiction		Walt Disney Pictures	5.7	5340	R	Drama	16000000	Canada	15-Sep-00	21	0	Original Screenplay	Duets	0	4734235	4734235
Contemporary Fiction	Jay Chandrasekhar	Warner Bros.	4.7	27016	PG-13	Comedy	53000000	United States	5-Aug-05	13	105	Based on TV	The Dukes of Hazzard	0	80270227	110570227
		Warner Bros.	7.2	2966	PG	Adventure	12000000	United States	30-Sep-05	93	0	Based on Book/Short Story	Duma	0	870067	994790
Contemporary Fiction		New Line	3.3	14813	PG-13	Comedy	30000000	United Kingdom	13-Jun-03	10	85	Original Screenplay	Dumb and Dumberer: When Harry Met Lloyd	0	26214846	26214846
Fantasy		Warner Bros.	0	0			15000000		8-Oct-05	0	0	Based on Game	Dungeons & Dragons 2: The Elemental Might	0	0	909822
Fantasy		New Line	3.6	16954	PG-13	Adventure	35000000		8-Dec-00	0	0	Based on Game	Dungeons and Dragons	0	15185241	33771965
Contemporary Fiction	Danny De Vito	Miramax	5.7	19238	PG-13	Comedy	40000000	Canada	26-Sep-03	0	0	Original Screenplay	Duplex	0	9652000	10070651
Contemporary Fiction		Universal	6.1	164	PG-13	Comedy	54000000	Puerto Rico	14-Jul-06	21	0	Original Screenplay	You, Me and Dupree	41651251	75802010	130402010
Contemporary Fiction	Taylor Hackford	Warner Bros.	0	0	R	Drama	57000000		17-Oct-97	0	144	Based on Book/Short Story	Devil's Advocate	0	61007424	153007424
Contemporary Fiction	Ron Howard	Sony Pictures	6.4	116903	PG-13	Thriller/Suspense	125000000		19-May-06	25	0	Based on Book/Short Story	The Da Vinci Code	100178981	217536138	757236138
Fantasy		Freestyle Releasing	3.8	14081	PG-13	Action	32000000	Germany	14-Sep-07	0	90	Traditional/Legend/Fairytale	D-War	7614486	10977721	79915361
Historical Fiction		MGM	5.3	4010	R	Drama	10000000	United States	3-May-02	3	0	Original Screenplay	Deuces Wild	0	6044618	6044618
Fantasy	Paul Weitz	Paramount Pictures	5	9193	PG-13	Comedy	30000000	United States	16-Feb-01	19	87	Remake	Down to Earth	0	64172251	71172251
Contemporary Fiction		Miramax	4.4	7095	PG-13	Romantic Comedy	9000000	United States	21-Jan-00	3	92	Original Screenplay	Down to You	0	20035310	20035310
Dramatization	Todd Haynes	Weinstein Co.	7.1	23078	R	Drama	20000000		21-Nov-07	76	0	Based on Real Life Events	I'm Not There	6017494	4017609	11498547
Contemporary Fiction		Sony/Screen Gems	7.7	483	PG-13	Comedy	8000000	Canada	17-Sep-10	80	0	Based on Book/Short Story	Easy A	0	21056221	22156221
		Magnolia Pictures	6.2	790	R		3000000		26-Feb-10	0	0		The Eclipse	0	133411	133411
Contemporary Fiction	Martin Campbell	Warner Bros.	6.7	24174	R	Drama	60000000	Hong Kong	29-Jan-10	55	0	Based on TV	Edge of Darkness	12665512	43313890	78739628
Contemporary Fiction	Ron Howard	Universal	6	21734	PG-13	Comedy	60000000		26-Mar-99	62	122	Original Screenplay	EDtv	0	22508689	35319689
Dramatization		Sony Pictures Classics	7.5	22855	PG-13	Drama	7500000	United States	9-Oct-09	94	0	Based on Factual Book/Article	An Education	1765115	12574914	14134502
Contemporary Fiction		Miramax	6.7	8351	R	Comedy	3000000		14-Apr-00	0	0	Based on Play	East is East	0	4170647	4170647
Contemporary Fiction		Orion Pictures	4.8	5127	R	Black Comedy	3000000	United States	18-Apr-97	11	0	Original Screenplay	8 Heads in a Duffel Bag	0	3602884	4002884
Contemporary Fiction	D.J. Caruso	Paramount Pictures	6.6	52336	PG-13	Thriller/Suspense	80000000	United States	26-Sep-08	27	117	Original Screenplay	Eagle Eye	38374936	101440743	178066569
Contemporary Fiction	Joel Schumacher	Sony Pictures	6.3	47753	R	Thriller/Suspense	40000000	Germany	26-Feb-99	22	119	Original Screenplay	8MM	0	36443442	96398826
Dramatization		Miramax	5.8	44	R	Drama	5500000		14-Dec-01	79	0	Based on Book/Short Story	Iris	0	5580479	15035827
Contemporary Fiction	Alexander Payne	Paramount Pictures	7.4	37454	R	Black Comedy	8500000	United States	23-Apr-99	92	103	Based on Book/Short Story	Election	0	14943582	14943582
Super Hero		20th Century Fox	4.9	27283	PG-13	Action	65000000		14-Jan-05	10	0	Spin-Off	Elektra	0	24409722	56409722
Kids Fiction	Jon Favreau	New Line	6.8	42123	PG	Comedy	32000000	United States	7-Nov-03	84	95	Original Screenplay	Elf	0	173398518	220443451
Dramatization	Shekhar Kapur	Gramercy	7.6	33773	R	Drama	25000000	Italy	6-Nov-98	81	124	Based on Real Life Events	Elizabeth	0	30082699	82150642
Fantasy		Miramax	6.3	12020	PG	Comedy	35000000	United States	9-Apr-04	49	96	Based on Book/Short Story	Ella Enchanted	0	22913677	22913677
Contemporary Fiction	Robert Rodriguez	Sony Pictures	6.2	54413	R	Action	29000000	Italy	12-Sep-03	68	102	Original Screenplay	Once Upon a Time in Mexico	0	56330657	98156459
Kids Fiction		Sony Pictures	5.4	1059	G	Comedy	17000000	Australia	1-Oct-99	76	0	Based on TV	The Adventures of Elmo in Grouchland	0	11634458	11634458
Historical Fiction		Universal	6.7	8165	PG-13	Drama	12500000		22-Nov-02	50	0	Based on Book/Short Story	The Emperor's Club	0	14060950	16124074
Contemporary Fiction		Universal	6.5	63	R	Drama	3500000	United States	6-Dec-02	21	0	Original Screenplay	Empire	0	17504595	18495444
Factual		Warner Independent	7.8	23674	G	Documentary	3400000		24-Jun-05	0	80	Based on Real Life Events	La marche de l'empereur	0	77437223	129437223
Contemporary Fiction		Lionsgate	5.4	17845	PG-13	Comedy	10000000	United States	6-Oct-06	20	103	Original Screenplay	Employee of the Month	21177885	28444855	38117718
Kids Fiction	Mark Dindal	Walt Disney Pictures	7.4	23355	G	Adventure	100000000		15-Dec-00	85	78	Original Screenplay	The Emperor's New Groove	0	89296573	169296573
Fantasy	Kevin Lima	Walt Disney Pictures	7.5	55697	PG	Romantic Comedy	85000000	United Kingdom	21-Nov-07	92	108	Original Screenplay	Enchanted	87698079	127706877	340384141
Historical Fiction	Neil Jordan	Sony Pictures	6.9	9969	R	Drama	23000000	United States	3-Dec-99	67	0	Based on Book/Short Story	The End of the Affair	0	10660147	10660147
Fantasy	Peter Hyams	Universal	5.4	43513	R	Action	100000000	United States	24-Nov-99	11	120	Original Screenplay	End of Days	0	66889043	212026975
Historical Fiction		M Power Releasing	6.7	2884	PG-13	Drama	10000000		20-Jan-06	0	0	Original Screenplay	End of the Spear	0	11748661	11748661
Historical Fiction	Jean-Jacques Annaud	Paramount Pictures	7.4	59916	R	Drama	85000000	Germany	16-Mar-01	53	131	Based on Real Life Events	Enemy at the Gates	0	51396781	96971293
Contemporary Fiction	Tony Scott	Walt Disney Pictures	7.2	66700	R	Action	85000000	United States	20-Nov-98	70	127	Original Screenplay	Enemy of the State	0	111549836	250649836
Contemporary Fiction	Jon Amiel	20th Century Fox	6.1	40764	PG-13	Thriller/Suspense	66000000	Malaysia	30-Apr-99	38	112	Original Screenplay	Entrapment	0	87707396	211700000
Contemporary Fiction	Michael Apted	Sony Pictures	6.5	92	PG-13	Thriller/Suspense	38000000		24-May-02	21	115	Original Screenplay	Enough	0	39177215	39177215
Contemporary Fiction	Barry Levinson	Dreamworks SKG	4.6	15655	PG-13	Comedy	20000000	United States	30-Apr-04	7	0	Original Screenplay	Envy	0	13548322	14566246
Contemporary Fiction	Jason Friedberg	20th Century Fox	2.2	48975	PG-13	Comedy	20000000	Australia	26-Jan-07	2	86	Original Screenplay	Epic Movie	16839362	39739367	86858578
Fantasy		20th Century Fox	5	43555	PG	Adventure	100000000		15-Dec-06	16	102	Based on Book/Short Story	Eragon	87700229	75030163	249488115
Dramatization	Steven Soderbergh	Universal	7.2	54977	R	Drama	50000000	United States	17-Mar-00	83	133	Based on Real Life Events	Erin Brockovich	0	125548685	258400000
Contemporary Fiction	Cameron Crowe	Paramount Pictures	6.4	31775	PG-13	Drama	54000000	Italy	14-Oct-05	28	133	Original Screenplay	Elizabethtown	15854391	26850426	50719373
Contemporary Fiction		Sony Pictures	4.7	3019	R	Drama	60000000	Canada	13-Aug-10	37	143	Based on Magazine Article	Eat Pray Love	0	78146373	81846373
Fantasy	Michel Gondry	Focus Features	8.5	219986	R	Comedy	20000000	United States	19-Mar-04	93	108	Based on Book/Short Story	Eternal Sunshine of the Spotless Mind	0	34366518	47066518
		Artisan	6.6	5205	R	Comedy	10000000	France	15-Oct-04	32	0	Original Screenplay	Eulogy	0	70527	70527
			7.9	1391	Not Rated	Drama	2000000		4-May-01	0	0		Eureka	0	49388	76654
Contemporary Fiction		Dreamworks SKG	6.5	52548	R	Comedy	25000000		20-Feb-04	46	0	Original Screenplay	Eurotrip	0	17718223	20718223
Historical Fiction	Kasi Lemmons	Trimark	7	4509	R	Drama	5000000		7-Nov-97	80	109	Original Screenplay	Eve's Bayou	0	14843425	14843425
Science Fiction	Paul Anderson	Paramount Pictures	6.3	44671	R	Horror	60000000	Canada	15-Aug-97	21	95	Original Screenplay	Event Horizon	0	26673242	26673242
Historical Fiction	Andy Tennant	20th Century Fox	0	0	PG	Drama	26000000		31-Jul-98	0	122	Traditional/Legend/Fairytale	Ever After: A Cinderella Story	0	65705772	65705772
Dramatization	Alan Parker	Walt Disney Pictures	6.1	16769	PG	Musical	55000000	United States	25-Dec-96	61	134	Based on Musical/Opera	Evita	0	50047179	151947179
Contemporary Fiction	Ivan Reitman	Dreamworks SKG	5.9	39590	PG-13	Comedy	80000000		8-Jun-01	42	102	Original Screenplay	Evolution	0	38311134	98341932
	Barry Levinson	Dreamworks SKG	6	1097	R		4000000	United States	25-Dec-00	49	0		An Everlasting Piece	0	75078	75078
Historical Fiction		Magnolia Pictures	7.3	3699	Not Rated	Action	4500000		31-Aug-07	0	100	Original Screenplay	Fong juk	0	51957	51957
Contemporary Fiction	Andrzej Bartkowiak	Warner Bros.	5.2	14528	R	Action	33000000	United States	16-Mar-01	33	100	Based on Book/Short Story	Exit Wounds	0	51758599	79958599
Dramatization	Scott Derrickson	Sony/Screen Gems	6.8	32425	PG-13	Thriller/Suspense	18000000	Italy	9-Sep-05	45	114	Based on Real Life Events	The Exorcism of Emily Rose	0	75072454	144216468
Historical Fiction	Renny Harlin	Warner Bros.	5	15901	R	Horror	78000000	United States	20-Aug-04	0	114	Based on Book/Short Story	Exorcist: The Beginning	0	41814863	43957541
Dramatization		Universal	7.1	4749	PG	Drama	37500000	United States	4-Oct-08	61	129	Based on Book/Short Story	The Express	6580715	9793406	9808102
Science Fiction	David Cronenberg	Miramax	6.8	35788	R	Thriller/Suspense	20700000	Germany	23-Apr-99	71	0	Original Screenplay	eXistenZ	0	2840417	2840417
Contemporary Fiction	Mike Judge	Miramax	6.4	12371	R	Comedy	7500000	Canada	4-Sep-09	62	0	Original Screenplay	Extract	0	10823158	10849158
Contemporary Fiction	Christian Duguay	Paramount Pictures	4.1	3195	PG-13	Action	40000000	United States	27-Nov-02	6	0	Original Screenplay	Extreme Ops	0	4835968	12624471
Contemporary Fiction	Stanley Kubrick	Warner Bros.	7.2	93880	R	Drama	65000000	United States	16-Jul-99	78	159	Based on Book/Short Story	Eyes Wide Shut	0	55691208	86257553
Contemporary Fiction	Robert Rodriguez	Miramax	6.3	36139	R	Horror	15000000	United States	25-Dec-98	51	102	Original Screenplay	The Faculty	0	40283321	40283321
Contemporary Fiction	Tom Dey	Paramount Pictures	5.6	20324	PG-13	Romantic Comedy	50000000	United States	10-Mar-06	25	0	Original Screenplay	Failure to Launch	41348843	88715192	128402901
Contemporary Fiction		Walt Disney Pictures	6.5	25485	PG-13	Romantic Comedy	29000000	United States	14-Apr-00	68	129	Original Screenplay	Keeping the Faith	0	37036404	45336404
Contemporary Fiction		MGM	4.5	4973	PG	Musical	18000000	United States	25-Sep-09	25	0	Remake	Fame	4950732	22455510	77956957
Contemporary Fiction		20th Century Fox	6.3	24434	PG-13	Comedy	18000000	United Kingdom	16-Dec-05	52	103	Original Screenplay	The Family Stone	23961409	60062868	91762868
	Griffin Dunne		0	0	PG-13	Comedy	1000000		22-Aug-01	0	0		Lisa Picard is Famous	0	113433	113433
Fantasy		Walt Disney Pictures	0	0	G	Musical	80000000		16-Jun-00	0	0	Compilation	Fantasia 2000 (Theatrical Release)	0	9103630	9103630
Historical Fiction	Todd Haynes	Focus Features	7.5	20239	PG-13	Drama	13500000		8-Nov-02	89	0	Original Screenplay	Far From Heaven	0	15901849	29027914
		MGM	2.5	1016	R	Thriller/Suspense	5000000		28-Jan-05	0	0	Original Screenplay	Fascination	0	16670	83356
Contemporary Fiction	Ivan Reitman	Warner Bros.	4.8	6654	PG-13	Comedy	85000000		9-May-97	0	98	Remake	Father's Day	0	28681080	35681080
Contemporary Fiction	Alex Kendrick	IDP/Goldwyn/Roadside	6	4901	PG	Drama	100000	United States	29-Sep-06	9	0	Original Screenplay	Facing the Giants	20091582	10178331	10178331
Contemporary Fiction	John Woo	Paramount Pictures	7.3	102001	R	Action	80000000		27-Jun-97	93	138	Original Screenplay	Face/Off	0	112276146	241200000
Fantasy	David R. Ellis	New Line	6.4	35737	R	Horror	26000000	United States	31-Jan-03	47	90	Original Screenplay	Final Destination 2	0	46896664	89626226
Fantasy	James Wong	New Line	5.9	32263	R	Horror	25000000	Thailand	10-Feb-06	45	0	Original Screenplay	Final Destination 3	18646884	54098051	112798051
Fantasy	David R. Ellis	Warner Bros.	4.9	20319	R	Horror	40000000	France	28-Aug-09	27	0	Original Screenplay	The Final Destination	10148305	66477700	185777700
Contemporary Fiction	William Malone	Warner Bros.	3.1	11438	R	Horror	40000000		30-Aug-02	0	0	Original Screenplay	FearDotCom	0	13208023	13208023
Dramatization	Terry Gilliam	Universal	7.6	81560	R	Comedy	18500000	France	22-May-98	47	0	Based on Book/Short Story	Fear and Loathing in Las Vegas	0	10680275	13711903
Fantasy		Weinstein/Dimension	6.4	12023	R	Horror	3200000		22-Sep-06	55	0	Original Screenplay	Feast	3570398	56131	341808
Science Fiction	Luc Besson	Sony Pictures	7.4	131252	PG-13	Action	95000000	France	9-May-97	72	105	Original Screenplay	The Fifth Element	0	63570862	263900000
Contemporary Fiction	Brian De Palma	Warner Bros.	6.3	16693	R	Thriller/Suspense	35000000	France	6-Nov-02	48	0	Original Screenplay	Femme Fatale	0	6592103	6592103
Contemporary Fiction	Peyton Reed	Universal	5.9	30309	PG-13	Comedy	10000000		25-Aug-00	63	99	Original Screenplay	Bring it On	0	68353550	90453550
Super Hero	Tim Story	20th Century Fox	5.7	71675	PG-13	Action	87500000		8-Jul-05	27	123	Based on Comic/Graphic Novel	Fantastic Four	4702358	154696080	330579719
Dramatization		Miramax	5.6	15023	R	Drama	13000000	United States	28-Aug-98	13	92	Original Screenplay	54	0	16757163	16757163
Contemporary Fiction	John Singleton	Universal	5.1	44151	PG-13	Action	76000000	United States	6-Jun-03	36	107	Based on Magazine Article	2 Fast 2 Furious	0	127120058	236220058
Contemporary Fiction	Rob Cohen	Universal	6	67939	PG-13	Action	38000000	United States	22-Jun-01	53	107	Based on Magazine Article	The Fast and the Furious	0	144512310	206512310
Contemporary Fiction	Andy Tennant	Warner Bros.	7.6	93	PG-13	Adventure	72500000		8-Feb-08	0	0	Original Screenplay	Fool's Gold	20620930	70231041	109362966
Factual	Michael Moore	Lionsgate	7.6	74424	R	Documentary	6000000		23-Jun-04	83	122	Based on Real Life Events	Fahrenheit 9/11	0	119114517	222414517
Factual	Michael Moore	Overture Films	7.3	11829	R	Documentary	20000000	Italy	23-Sep-09	75	0	Based on Real Life Events	Capitalism: A Love Story	2987505	14363397	14678228
Historical Fiction	Albert Hughes	20th Century Fox	6.8	53477	R	Thriller/Suspense	35000000	Italy	19-Oct-01	57	123	Based on Comic/Graphic Novel	From Hell	0	31598308	31598308
Fantasy		Lionsgate	6.9	11683	R	Horror	8000000		15-Jun-07	0	93	Original Screenplay	Fido	0	298110	419801
