Airport__Name,Aircraft__Make_Model,Effect__Amount_of_damage,Flight_Date,Aircraft__Airline_Operator,Origin_State,When__Phase_of_flight,Wildlife__Size,Wildlife__Species,When__Time_of_day,Cost__Other,Cost__Repair,Cost__Total_$,Number_of_Strikes,Speed_IAS_in_knots
SACRAMENTO INTL,BE-200 KING,None,12/12/96 0:00,BUSINESS,California,Approach,Large,Unknown bird - large,Night,0,0,0,1,160
ORLANDO INTL,DC-10,None,12/12/96 0:00,CONTINENTAL AIRLINES,Florida,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,250
LOUISVILLE INTL ARPT,DC-8,None,12/12/96 0:00,UPS AIRLINES,Kentucky,Take-off run,Small,European starling,Day,0,0,0,1,70
DALLAS/FORT WORTH INTL ARPT,B-767-300,None,12/12/96 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Dusk,0,0,0,1,130
SACRAMENTO INTL,B-727,None,12/13/96 0:00,UNITED AIRLINES,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737,None,12/13/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,100
MINETA SAN JOSE INTL,C-310,Medium,12/13/96 0:00,BUSINESS,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,160
LOUISVILLE INTL ARPT,B-727-200,None,12/13/96 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,170
LIHUE ARPT,B-737-200,None,12/14/96 0:00,ALOHA AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,135
LAGUARDIA NY,B-737-200,None,12/14/96 0:00,US AIRWAYS*,New York,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
LAMBERT-ST LOUIS INTL,B-737-300,None,12/15/96 0:00,CONTINENTAL AIRLINES,Missouri,Approach,Large,Unknown bird - large,Night,0,0,0,1,180
METRO OAKLAND INTL,B-727,None,12/15/96 0:00,DELTA AIR LINES,California,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,1,160
KANSAS CITY INTL,B-737-200,Substantial,12/15/96 0:00,SOUTHWEST AIRLINES,Missouri,Climb,Small,Rock pigeon,Day,0,0,0,1,145
LIHUE ARPT,B-737-200,None,12/16/96 0:00,ALOHA AIRLINES,Hawaii,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737,None,12/16/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,120
LIHUE ARPT,B-737-200,None,12/17/96 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,1,125
MINNEAPOLIS-ST PAUL INTL,B-757-200,None,12/18/96 0:00,NORTHWEST AIRLINES,Minnesota,Approach,Large,Canada goose,Day,0,0,0,1,140
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,12/18/96 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,1,140
GEORGE BUSH INTERCONTINENTAL,BE-1900,None,12/18/96 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,180
ATLANTA INTL,FOKKER F100,None,12/19/96 0:00,AMERICAN AIRLINES,Georgia,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,190
LIHUE ARPT,B-737-200,None,12/19/96 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
SAN FRANCISCO INTL ARPT,B-747-1/200,None,12/20/96 0:00,BUSINESS,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,130
SACRAMENTO INTL,FOKKER F28 MK 1000,None,12/21/96 0:00,HORIZON AIR,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737-200,None,12/21/96 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
SACRAMENTO INTL,MD-80,None,12/22/96 0:00,AMERICAN AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737,None,12/22/96 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,1,
LIHUE ARPT,DC-9,None,12/22/96 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Zebra dove,Day,0,0,0,1,
SACRAMENTO INTL,B-737-300,Minor,12/23/96 0:00,SOUTHWEST AIRLINES,California,Approach,Large,Unknown bird - large,Night,0,0,0,1,
CLEVELAND-HOPKINS INTL ARPT,B-737-300,None,12/23/96 0:00,SOUTHWEST AIRLINES,Ohio,Approach,Small,Unknown bird - small,Dusk,0,0,0,1,138
PORT COLUMBUS INTL,B-737-300,None,12/24/96 0:00,AMERICA WEST AIRLINES,Ohio,Landing Roll,Medium,Unknown bird - medium,Dawn,0,0,0,1,120
PORTLAND INTL (OR),B-737-300,None,12/26/96 0:00,SOUTHWEST AIRLINES,Oregon,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,150
LOUISVILLE INTL ARPT,B-737-300,None,12/26/96 0:00,SOUTHWEST AIRLINES,Kentucky,Climb,Small,European starling,Day,0,0,0,1,122
NEW ORLEANS INTL,B-727,None,12/28/96 0:00,AMERICAN AIRLINES,Louisiana,Take-off run,Medium,Unknown bird - medium,Dawn,0,0,0,1,155
HOUSTON-HOBBY,ATR-72,None,12/28/96 0:00,AMERICAN EAGLE AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,125
RONALD REAGAN WASHINGTON NATL,B-727,None,12/30/96 0:00,UNITED AIRLINES,DC,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,
GEORGE BUSH INTERCONTINENTAL,B-737,None,12/31/96 0:00,UNITED AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737-200,None,1/1/97 0:00,ALOHA AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,MD-80,None,1/2/97 0:00,AMERICAN AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,BA-41 JETSTR,None,1/2/97 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Small,European starling,Day,0,0,0,1,130
SACRAMENTO INTL,B-737-300,Minor,1/3/97 0:00,SOUTHWEST AIRLINES,California,Climb,Large,Unknown bird - large,Night,0,0,0,1,210
SACRAMENTO INTL,B-737,Substantial,1/3/97 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
SACRAMENTO INTL,MD-80,Substantial,1/3/97 0:00,AMERICAN AIRLINES,California,Approach,Medium,Mallard,Night,0,148743,148743,1,
LIHUE ARPT,DC-9-50,None,1/3/97 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Pacific golden-plover,Dawn,0,0,0,1,120
LOUISVILLE INTL ARPT,B-727,Minor,1/3/97 0:00,DELTA AIR LINES,Kentucky,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
ORLANDO INTL,B-737,None,1/4/97 0:00,DELTA AIR LINES,Florida,Take-off run,Large,Unknown bird - large,Day,0,0,0,1,
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,1/5/97 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,210
SALT LAKE CITY INTL,B-737-300,Minor,1/7/97 0:00,AMERICA WEST AIRLINES,Utah,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,
LAGUARDIA NY,B-727-200,None,1/7/97 0:00,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,135
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1/9/97 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Dusk,0,0,0,1,
FORT LAUDERDALE/HOLLYWOOD INTL,B-737-400,None,1/9/97 0:00,US AIRWAYS*,Florida,Approach,Small,Unknown bird - small,Day,0,0,0,1,150
DENVER INTL AIRPORT,B-757-200,None,1/10/97 0:00,UNITED AIRLINES,Colorado,Approach,Small,Unknown bird - small,Night,0,0,0,1,
SEATTLE-TACOMA INTL,B-737-300,None,1/11/97 0:00,UNITED AIRLINES,Washington,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
SACRAMENTO INTL,B-737-500,None,1/12/97 0:00,UNITED AIRLINES,California,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,
CHARLOTTE/DOUGLAS INTL ARPT,B-767-200,None,1/12/97 0:00,US AIRWAYS*,North Carolina,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,200
SALT LAKE CITY INTL,B-737,None,1/13/97 0:00,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,DC-9,None,1/13/97 0:00,HAWAIIAN AIR,Hawaii,Landing Roll,Small,Barn owl,Day,0,0,0,1,
SALT LAKE CITY INTL,MD-82,None,1/14/97 0:00,AMERICAN AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
SALT LAKE CITY INTL,B-757-200,None,1/14/97 0:00,DELTA AIR LINES,Utah,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,135
SALT LAKE CITY INTL,B-737-300,None,1/16/97 0:00,SOUTHWEST AIRLINES,Utah,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,110
SACRAMENTO INTL,EMB-120,Minor,1/17/97 0:00,SKYWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,170
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1/19/97 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Night,0,0,0,1,
NEW ORLEANS INTL,CL-RJ100/200,None,1/19/97 0:00,COMAIR AIRLINES,Louisiana,Approach,Small,Unknown bird - small,Day,0,0,0,1,142
BARKSDALE AIR FORCE BASE ARPT,B-52H,None,1/21/97 0:00,MILITARY,Louisiana,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,160
NEW ORLEANS INTL,B-737,None,1/21/97 0:00,UNITED AIRLINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,
HONOLULU INTL ARPT,B-737-200,None,1/24/97 0:00,ALOHA AIRLINES,Hawaii,Approach,Medium,Unknown bird - medium,Dawn,0,0,0,1,126
BARKSDALE AIR FORCE BASE ARPT,T-1A,None,1/24/97 0:00,MILITARY,Louisiana,Climb,Medium,Unknown bird or bat,Day,0,0,0,1,140
RONALD REAGAN WASHINGTON NATL,A-320,Substantial,1/25/97 0:00,AMERICA WEST AIRLINES,DC,Climb,Medium,Ring-billed gull,Day,0,0,0,1,145
CHICAGO MIDWAY INTL ARPT,B-737-300,None,1/25/97 0:00,SOUTHWEST AIRLINES,Illinois,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,145
SACRAMENTO INTL,B-737,None,1/25/97 0:00,AMERICA WEST AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
WASHINGTON DULLES INTL ARPT,FOKKER F100,None,1/25/97 0:00,US AIRWAYS*,DC,Take-off run,Medium,Ring-billed gull,Day,0,0,0,1,128
LAGUARDIA NY,MD-80,None,1/26/97 0:00,DELTA AIR LINES,New York,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,1,
SACRAMENTO INTL,C-208,Minor,1/27/97 0:00,FEDEX EXPRESS,California,Approach,Medium,Unknown bird - medium,Night,2893,4050,6943,1,120
RONALD REAGAN WASHINGTON NATL,C-560,Minor,1/28/97 0:00,EXECUTIVE JET AVIATION,DC,Approach,Medium,Ring-billed gull,Day,0,0,0,1,
SACRAMENTO INTL,BE-58  BARON,None,1/30/97 0:00,BUSINESS,California,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,85
LOGAN INTL,B-737-200,None,2/1/97 0:00,DELTA AIR LINES,Massachusetts,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,140
PHOENIX SKY HARBOR,MD-82,None,2/3/97 0:00,AMERICAN AIRLINES,Arizona,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,200
LIHUE ARPT,B-737-200,None,2/3/97 0:00,ALOHA AIRLINES,Hawaii,Landing Roll,Small,Barn owl,Dawn,0,0,0,1,135
LOGAN INTL,FOKKER F28 MK 1000,None,2/3/97 0:00,AMERICAN AIRLINES,Massachusetts,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,140
METRO OAKLAND INTL,B-737-400,Minor,2/4/97 0:00,ALASKA AIRLINES,California,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,
HOUSTON-HOBBY,B-737-500,None,2/5/97 0:00,SOUTHWEST AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,120
ORLANDO INTL,B-737,None,2/5/97 0:00,DELTA AIR LINES,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
CHARLESTON AFB/INTL ARPT,C-141,None,2/7/97 0:00,MILITARY,South Carolina,Approach,Medium,Unknown bird or bat,Day,0,0,0,1,
GREATER PITTSBURGH,DC-9-30,None,2/7/97 0:00,US AIRWAYS*,Pennsylvania,Approach,Small,Unknown bird - small,Day,0,0,0,1,137
DALLAS/FORT WORTH INTL ARPT,SAAB-340,None,2/9/97 0:00,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
NEW ORLEANS INTL,B-757-200,None,2/10/97 0:00,DELTA AIR LINES,Louisiana,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,125
PORTLAND INTL (OR),C-130H,None,2/11/97 0:00,MILITARY,Oregon,Take-off run,Medium,Unknown bird or bat,Day,0,0,0,1,
LIHUE ARPT,B-737-200,None,2/11/97 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
HOUSTON-HOBBY,B-737-200,None,2/12/97 0:00,SOUTHWEST AIRLINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,128
LOS ANGELES INTL,B-737-300,None,2/12/97 0:00,UNITED AIRLINES,California,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,2/18/97 0:00,DELTA AIR LINES,Texas,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,100
PHILADELPHIA INTL,DC-9-30,None,2/18/97 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,Mourning dove,Day,0,0,0,1,170
HONOLULU INTL ARPT,B-737-200,None,2/18/97 0:00,ALOHA AIRLINES,Hawaii,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
LIHUE ARPT,C-135E,None,2/20/97 0:00,MILITARY,Hawaii,Landing Roll,Medium,Unknown bird or bat,Day,0,0,0,1,140
NEW ORLEANS INTL,B-727-200,None,2/20/97 0:00,DELTA AIR LINES,Louisiana,Landing Roll,Medium,Unknown bird - medium,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,B-727-200,None,2/20/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,European starling,Day,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2/20/97 0:00,AMERICAN AIRLINES,Texas,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,100
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2/21/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,B-757-200,None,2/22/97 0:00,DELTA AIR LINES,Texas,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
LIHUE ARPT,B-737-200,None,2/22/97 0:00,ALOHA AIRLINES,Hawaii,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,130
FORT LAUDERDALE/HOLLYWOOD INTL,MD-80,None,2/22/97 0:00,US AIRWAYS*,Florida,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,210
CHARLOTTE/DOUGLAS INTL ARPT,FOKKER F100,None,2/22/97 0:00,AMERICAN AIRLINES,North Carolina,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,100
ORLANDO INTL,B-757-200,None,2/22/97 0:00,BUSINESS,Florida,Approach,Small,Unknown bird - small,Night,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,2/23/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,130
INDIANAPOLIS INTL,B-737-200,None,2/23/97 0:00,DELTA AIR LINES,Indiana,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
DENVER INTL AIRPORT,B-737-300,Minor,2/24/97 0:00,UNITED AIRLINES,Colorado,Climb,Large,Unknown bird - large,Day,0,0,0,1,
SACRAMENTO INTL,B-737-500,None,2/26/97 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,175
PHILADELPHIA INTL,DC-9,None,2/27/97 0:00,NORTHWEST AIRLINES,Pennsylvania,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
HONOLULU INTL ARPT,DC-9,None,2/27/97 0:00,HAWAIIAN AIR,Hawaii,Climb,Small,Unknown bird - small,Day,0,0,0,1,140
CHARLESTON AFB/INTL ARPT,BE-1900,Substantial,2/28/97 0:00,GREAT LAKES AIRLINES,South Carolina,Approach,Large,Unknown bird - large,Night,0,0,0,1,200
SACRAMENTO INTL,EMB-120,None,3/1/97 0:00,SKYWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
NASHVILLE INTL,B-737-200,None,3/2/97 0:00,SOUTHWEST AIRLINES,Tennessee,Climb,Small,Unknown bird - small,Day,0,0,0,1,150
CHICAGO O'HARE INTL ARPT,B-737,None,3/3/97 0:00,UNITED AIRLINES,Illinois,Take-off run,Medium,Red-tailed hawk,Day,0,0,0,1,
GEORGE BUSH INTERCONTINENTAL,ATR-42,None,3/3/97 0:00,EXPRESSJET (CONTINENTAL EXPRS),Texas,Climb,Medium,Unknown bird - medium,Dusk,0,0,0,1,
MINETA SAN JOSE INTL,B-737-300,None,3/3/97 0:00,SOUTHWEST AIRLINES,California,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,170
LOUISVILLE INTL ARPT,DC-8-70,None,3/4/97 0:00,UPS AIRLINES,Kentucky,Approach,Large,Unknown bird - large,Night,0,0,0,1,230
WASHINGTON DULLES INTL ARPT,BA-31 JETSTR,None,3/4/97 0:00,ATLANTIC COAST AIRLINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,120
RONALD REAGAN WASHINGTON NATL,MD-80,None,3/4/97 0:00,US AIRWAYS*,DC,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,175
PHILADELPHIA INTL,FOKKER F100,Substantial,3/5/97 0:00,US AIRWAYS*,Pennsylvania,Climb,Large,Unknown bird - large,Night,0,0,0,1,160
RONALD REAGAN WASHINGTON NATL,B-727,None,3/5/97 0:00,DELTA AIR LINES,DC,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
METRO OAKLAND INTL,B-737-300,None,3/6/97 0:00,SOUTHWEST AIRLINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,125
NASHVILLE INTL,BE-1900,None,3/6/97 0:00,GREAT LAKES AIRLINES,Tennessee,Approach,Small,European starling,Day,0,0,0,1,120
SALT LAKE CITY INTL,B-737,Minor,3/7/97 0:00,AMERICA WEST AIRLINES,Utah,Climb,Large,Unknown bird - large,Day,0,0,0,1,
LAMBERT-ST LOUIS INTL,B-737-300,None,3/7/97 0:00,SOUTHWEST AIRLINES,Missouri,Approach,Small,Unknown bird - small,Day,0,0,0,1,210
NASHVILLE INTL,CL-RJ100/200,None,3/8/97 0:00,COMAIR AIRLINES,Tennessee,Climb,Medium,Red-tailed hawk,Dawn,0,0,0,1,140
DALLAS/FORT WORTH INTL ARPT,MD-80,None,3/8/97 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,160
GREATER PITTSBURGH,DC-9,None,3/8/97 0:00,US AIRWAYS*,Pennsylvania,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,
NASHVILLE INTL,B-737-300,None,3/9/97 0:00,SOUTHWEST AIRLINES,Tennessee,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,135
GREATER PITTSBURGH,DC-9,None,3/9/97 0:00,US AIRWAYS*,Pennsylvania,Climb,Small,Unknown bird - small,Night,0,0,0,1,
METRO OAKLAND INTL,B-737-300,Minor,3/10/97 0:00,SOUTHWEST AIRLINES,California,Descent,Large,Unknown bird - large,Night,0,0,0,1,250
CHARLOTTE/DOUGLAS INTL ARPT,PA-32,None,3/10/97 0:00,PRIVATELY OWNED,North Carolina,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,90
CHICAGO O'HARE INTL ARPT,CITATION II,None,3/10/97 0:00,BUSINESS,Illinois,Approach,Small,Unknown bird - small,Day,0,0,0,1,160
SALT LAKE CITY INTL,B-757-200,Minor,3/11/97 0:00,DELTA AIR LINES,Utah,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
SAN FRANCISCO INTL ARPT,B-727-200,None,3/11/97 0:00,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,140
SACRAMENTO INTL,MD-80,Minor,3/11/97 0:00,AMERICAN AIRLINES,California,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,130
PORTLAND INTL (OR),HAWKER 1000,Minor,3/12/97 0:00,EXECUTIVE JET AVIATION,Oregon,Landing Roll,Medium,Unknown bird - medium,Night,0,9423,9423,1,
PHOENIX SKY HARBOR,B-737-300,None,3/12/97 0:00,SOUTHWEST AIRLINES,Arizona,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,250
AUSTIN-BERGSTROM INTL,MD-80,None,3/12/97 0:00,AMERICAN AIRLINES,Texas,Climb,Small,Unknown bird - small,Day,0,0,0,1,170
ORLANDO INTL,B-737,None,3/13/97 0:00,DELTA AIR LINES,Florida,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
AUSTIN-BERGSTROM INTL,BE-58  BARON,None,3/14/97 0:00,BUSINESS,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,60
SALT LAKE CITY INTL,MD-80,None,3/14/97 0:00,AMERICAN AIRLINES,Utah,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
JOHN F KENNEDY INTL,A-300,None,3/15/97 0:00,AMERICAN AIRLINES,New York,Approach,Small,American kestrel,Day,0,0,0,1,
ORLANDO INTL,B-757-200,None,3/16/97 0:00,DELTA AIR LINES,Florida,Approach,Medium,Unknown bird - medium,Dusk,0,0,0,1,160
ORLANDO INTL,MD-80,None,3/16/97 0:00,US AIRWAYS*,Florida,Take-off run,Small,Unknown bird - small,Day,0,0,0,1,80
MINETA SAN JOSE INTL,B-727,None,3/17/97 0:00,DELTA AIR LINES,California,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,190
DENVER INTL AIRPORT,B-737-300,None,3/18/97 0:00,FRONTIER AIRLINES,Colorado,Descent,Large,Unknown bird - large,Night,0,0,0,1,250
NEW ORLEANS INTL,DC-9-40,None,3/18/97 0:00,ABX AIR,Louisiana,Landing Roll,Medium,Unknown bird - medium,Night,0,0,0,1,
PHOENIX SKY HARBOR,B-737,None,3/18/97 0:00,SOUTHWEST AIRLINES,Arizona,Approach,Small,Unknown bird - small,Night,0,0,0,1,210
CHARLESTON AFB/INTL ARPT,KC-10A,None,3/21/97 0:00,MILITARY,South Carolina,Take-off run,Medium,Herring gull,Day,0,0,0,1,
PHOENIX SKY HARBOR,DC-8-61,None,3/21/97 0:00,ABX AIR,Arizona,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,
AUSTIN-BERGSTROM INTL,B-727,None,3/21/97 0:00,DELTA AIR LINES,Texas,Climb,Small,Unknown bird - small,Night,0,0,0,1,245
BALTIMORE WASH INTL,B-737-500,None,3/21/97 0:00,SOUTHWEST AIRLINES,Maryland,Descent,Small,Unknown bird - small,Night,0,0,0,1,210
DALLAS/FORT WORTH INTL ARPT,MD-80,None,3/23/97 0:00,AMERICAN AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
NEW ORLEANS INTL,B-737-200,Medium,3/23/97 0:00,SOUTHWEST AIRLINES,Louisiana,Climb,Medium,Unknown bird - medium,Night,0,0,0,1,220
SACRAMENTO INTL,B-737-500,Minor,3/23/97 0:00,UNITED AIRLINES,California,Approach,Medium,Mallard,Night,0,0,0,1,135
DALLAS/FORT WORTH INTL ARPT,MD-82,None,3/23/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Day,0,0,0,1,140
CLEVELAND-HOPKINS INTL ARPT,B-737-300,Minor,3/24/97 0:00,CONTINENTAL AIRLINES,Ohio,Approach,Large,Unknown bird - large,Night,0,0,0,1,
MEMPHIS INTL,A-300,Substantial,3/26/97 0:00,FEDEX EXPRESS,Tennessee,Climb,Large,Unknown bird - large,Day,0,0,0,1,180
ATLANTA INTL,MD-80,None,3/26/97 0:00,DELTA AIR LINES,Georgia,Take-off run,Medium,Unknown bird - medium,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,FOKKER F100,None,3/26/97 0:00,AMERICAN AIRLINES,Texas,Approach,Small,Unknown bird - small,Night,0,0,0,1,180
LOUISVILLE INTL ARPT,B-727,None,3/27/97 0:00,DELTA AIR LINES,Kentucky,Climb,Medium,Unknown bird - medium,Dawn,0,0,0,1,120
SACRAMENTO INTL,LEARJET-60,None,3/27/97 0:00,BUSINESS,California,Approach,Medium,Unknown bird - medium,Day,0,0,0,1,
ATLANTA INTL,EMB-120,None,3/27/97 0:00,ATLANTIC SOUTHEAST,Georgia,Approach,Small,European starling,Day,0,0,0,1,130
NEWARK LIBERTY INTL ARPT,MD-82,None,3/27/97 0:00,AMERICAN AIRLINES,New Jersey,Approach,Small,Unknown bird - small,Night,0,0,0,1,140
LOUISVILLE INTL ARPT,DC-8-70,None,3/28/97 0:00,UPS AIRLINES,Kentucky,Approach,Medium,Unknown bird - medium,Night,0,0,0,1,190
KANSAS CITY INTL,DC-9,Minor,3/28/97 0:00,NORTHWEST AIRLINES,Missouri,Landing Roll,Small,Unknown bird - small,Day,0,0,0,1,
SAN FRANCISCO INTL ARPT,B-737-300,None,3/29/97 0:00,UNITED AIRLINES,California,Landing Roll,Large,Canada goose,Day,0,0,0,1,120
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,3/29/97 0:00,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,
DALLAS/FORT WORTH INTL ARPT,ATR-72,None,3/29/97 0:00,AMERICAN EAGLE AIRLINES,Texas,Climb,Medium,Unknown bird - medium,Day,0,0,0,1,170
PORTLAND INTL (OR),MD-80,None,3/29/97 0:00,ALASKA AIRLINES,Oregon,Landing Roll,Medium,Mallard,Dusk,0,0,0,1,
PHILADELPHIA INTL,DC-8-61,None,3/29/97 0:00,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,210
PHILADELPHIA INTL,DC-8-70,None,3/29/97 0:00,UPS AIRLINES,Pennsylvania,Descent,Medium,Unknown bird - medium,Night,0,0,0,1,215
PHOENIX SKY HARBOR,B-737-300,None,3/29/97 0:00,AMERICA WEST AIRLINES,Arizona,Take-off run,Small,Unknown bird - small,Dusk,0,0,0,1,
